Country,ISO Code,Index_Score,regulation,Archetype_Label,Cluster,Financial_Closedness (52.51%),Inflation (0.70%),Crypto_Adoption_Rank (46.80%)
Ukraine,UKR,100.0,3.0,Sovereign Controllers,1,1.94,19.8744638522736,5
India,IND,94.56319287950171,5.0,Leapfroggers,0,1.25,2.59194954513768,1
Pakistan,PAK,91.94868959048874,0.0,Sovereign Controllers,1,1.25,26.0156920088641,8
Brazil,BRA,91.15851661406765,8.0,Leapfroggers,0,1.25,5.15950107501996,9
Argentina,ARG,90.83720535134341,5.0,Leapfroggers,0,1.25,136.742358437599,15
Iran,IRN,90.38436386942882,2.0,Sovereign Controllers,1,1.94,37.2937420604748,28
China,CHN,90.19876376558327,0.0,Sovereign Controllers,1,1.25,-0.50570453916356,11
Ghana,GHA,90.00166666366275,0.0,Sovereign Controllers,1,1.94,40.1057981965589,29
Russia,RUS,89.48295463775688,3.0,Sovereign Controllers,1,1.25,7.99857099742052,13
Venezuela,VEN,88.74707171943503,2.0,Sovereign Controllers,1,1.94,367.889226487606,45
Nigeria,NGA,88.60376229657979,7.0,Leapfroggers,0,0.68,10.822580640136,2
Bangladesh,BGD,87.73955218523227,1.0,Sovereign Controllers,1,1.25,6.89712404003441,17
Morocco,MAR,86.44888320142563,0.0,Sovereign Controllers,1,1.25,7.05168019026993,20
Vietnam,VNM,82.94919336698773,0.0,Sovereign Controllers,1,0.17,2.09339091583757,3
South Africa,ZAF,81.66657088970584,7.0,Leapfroggers,0,1.25,4.72230243263523,31
Indonesia,IDN,81.21505643294435,3.0,Sovereign Controllers,1,0.17,1.53013198443368,7
Philippines,PHL,80.60482787490626,7.0,Leapfroggers,0,0.06,4.60143307078241,6
Ethiopia,ETH,79.99635728996999,0.0,Sovereign Controllers,1,1.25,32.9130722654676,36
Thailand,THA,79.91733285426618,4.0,Sovereign Controllers,0,0.17,1.27492169842496,10
Algeria,DZA,74.70475442223491,0.0,Sovereign Controllers,1,1.25,1.00153139964416,47
Kazakhstan,KAZ,73.65792705601328,6.0,Leapfroggers,0,1.0,9.52224688275005,44
Tunisia,TUN,71.36227083496222,0.0,Sovereign Controllers,1,1.25,7.18154722475788,55
Nepal,NPL,70.9064984509045,0.0,Sovereign Controllers,1,1.25,5.74902859335131,56
Colombia,COL,70.5306575937214,2.0,Sovereign Controllers,1,0.17,6.9523623210511,32
Egypt,EGY,69.54457920549477,1.0,Sovereign Controllers,1,0.17,24.7990758719001,35
Moldova,MDA,69.24281088558864,1.0,Sovereign Controllers,1,1.25,9.27782417179883,60
Malaysia,MYS,67.79247273207659,5.0,Leapfroggers,0,0.17,-1.84898373559957,38
